epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,33190.5,0.48771,0.36399,0.84128,0.96979,0.95561,0.98305,0.92,0.35004,0.263,0.79383,0.004159,0.004159,0.004159
61,33522.6,0.48759,0.36463,0.8412,0.96957,0.95668,0.98326,0.92033,0.34957,0.26211,0.7937,0.00406,0.00406,0.00406
62,34156.2,0.48482,0.36078,0.83993,0.96953,0.95686,0.98338,0.9206,0.34907,0.26144,0.79356,0.003961,0.003961,0.003961
63,34826.7,0.48235,0.3581,0.83964,0.9701,0.95676,0.98348,0.92093,0.34855,0.261,0.79342,0.003862,0.003862,0.003862
64,35320.4,0.48096,0.35702,0.83807,0.96992,0.95705,0.98356,0.9213,0.34808,0.26048,0.79328,0.003763,0.003763,0.003763
65,35969.2,0.4805,0.35514,0.83782,0.97044,0.95716,0.98368,0.92142,0.34765,0.25987,0.79315,0.003664,0.003664,0.003664
66,36641.1,0.47641,0.35197,0.83749,0.97055,0.95736,0.98377,0.92185,0.34717,0.2594,0.79302,0.003565,0.003565,0.003565
67,37312.1,0.47567,0.35042,0.83749,0.97093,0.95751,0.9839,0.92193,0.34681,0.25875,0.7929,0.003466,0.003466,0.003466
68,37979,0.47514,0.34794,0.83725,0.97153,0.95746,0.98404,0.92246,0.34622,0.25818,0.79277,0.003367,0.003367,0.003367
69,38642.6,0.47499,0.34814,0.83621,0.97267,0.95674,0.98409,0.92246,0.34566,0.2578,0.79264,0.003268,0.003268,0.003268
70,39309.7,0.46754,0.34309,0.83549,0.97302,0.95683,0.98422,0.92286,0.34519,0.25725,0.79251,0.003169,0.003169,0.003169
71,39975.1,0.46871,0.34101,0.83538,0.97323,0.95734,0.98434,0.92328,0.34469,0.25653,0.79238,0.00307,0.00307,0.00307
72,40642.1,0.46742,0.33974,0.83523,0.97346,0.95787,0.9845,0.92361,0.34422,0.25596,0.79224,0.002971,0.002971,0.002971
73,41303.2,0.4672,0.3412,0.8338,0.97423,0.95787,0.98462,0.92392,0.34373,0.25537,0.79209,0.002872,0.002872,0.002872
74,41972.2,0.46488,0.33694,0.83365,0.97431,0.95816,0.98475,0.92438,0.34327,0.25473,0.79195,0.002773,0.002773,0.002773
75,42637.7,0.46171,0.33418,0.83358,0.97449,0.95893,0.98495,0.92476,0.34272,0.25381,0.79181,0.002674,0.002674,0.002674
76,43302.2,0.46292,0.33264,0.83366,0.97471,0.95917,0.98499,0.92505,0.34221,0.2535,0.79167,0.002575,0.002575,0.002575
77,43976.6,0.4586,0.32911,0.83287,0.97443,0.95971,0.98511,0.92543,0.34174,0.25281,0.79153,0.002476,0.002476,0.002476
78,44641.8,0.45857,0.32894,0.83267,0.97502,0.95963,0.98523,0.92552,0.34124,0.25226,0.79139,0.002377,0.002377,0.002377
79,45305.3,0.45469,0.32602,0.83073,0.97518,0.95974,0.98531,0.92603,0.34086,0.25195,0.79127,0.002278,0.002278,0.002278
80,45970.8,0.45233,0.32267,0.83022,0.97541,0.95982,0.98539,0.9262,0.34046,0.25138,0.79113,0.002179,0.002179,0.002179
81,46640,0.45293,0.32243,0.8298,0.9759,0.9599,0.98552,0.92651,0.34008,0.25074,0.791,0.00208,0.00208,0.00208
82,47306.3,0.44872,0.31927,0.82948,0.97581,0.96037,0.9857,0.92675,0.33974,0.24997,0.79084,0.001981,0.001981,0.001981
83,47972.4,0.44833,0.31802,0.82888,0.97579,0.96064,0.9858,0.92701,0.3393,0.24958,0.79069,0.001882,0.001882,0.001882
84,48640.1,0.44566,0.31667,0.8288,0.97588,0.96099,0.98588,0.92725,0.33873,0.24903,0.79053,0.001783,0.001783,0.001783
85,49303.8,0.44247,0.31216,0.82701,0.97604,0.96135,0.98602,0.92757,0.33825,0.24851,0.79035,0.001684,0.001684,0.001684
86,49968,0.44221,0.31238,0.82787,0.97616,0.96166,0.98613,0.92776,0.33782,0.2479,0.79019,0.001585,0.001585,0.001585
87,50635.5,0.43966,0.30766,0.82698,0.9761,0.96217,0.98622,0.92795,0.33748,0.24741,0.79002,0.001486,0.001486,0.001486
88,51301.5,0.44108,0.30846,0.82741,0.97614,0.96258,0.98632,0.92813,0.33694,0.24689,0.78985,0.001387,0.001387,0.001387
89,51963.6,0.43614,0.30467,0.82689,0.97613,0.96283,0.98642,0.92838,0.33655,0.24641,0.78969,0.001288,0.001288,0.001288
90,52630,0.43275,0.30227,0.82474,0.9767,0.96283,0.9866,0.92865,0.33607,0.24571,0.78953,0.001189,0.001189,0.001189
91,53286.7,0.38936,0.2613,0.80234,0.97675,0.96362,0.98678,0.92901,0.33564,0.245,0.78939,0.00109,0.00109,0.00109
92,53953.4,0.38566,0.25768,0.80024,0.97723,0.96388,0.98696,0.9294,0.33525,0.2441,0.78924,0.000991,0.000991,0.000991
93,54623.9,0.38095,0.25432,0.80067,0.97723,0.96466,0.98713,0.9298,0.33485,0.2432,0.7891,0.000892,0.000892,0.000892
94,55289.6,0.37971,0.25083,0.80056,0.97745,0.96504,0.98728,0.9302,0.33442,0.24247,0.78897,0.000793,0.000793,0.000793
95,55960.1,0.37555,0.24824,0.79965,0.97782,0.96502,0.98737,0.93042,0.33401,0.24212,0.78885,0.000694,0.000694,0.000694
96,56629.1,0.37459,0.24649,0.79934,0.97814,0.96504,0.98746,0.93064,0.33366,0.24155,0.78873,0.000595,0.000595,0.000595
97,57292.6,0.37208,0.24404,0.79937,0.97822,0.96536,0.98761,0.93101,0.33319,0.24089,0.7886,0.000496,0.000496,0.000496
98,57960.7,0.36782,0.23999,0.79743,0.97786,0.96607,0.98773,0.93128,0.33272,0.24022,0.78848,0.000397,0.000397,0.000397
99,58623,0.36817,0.23928,0.79785,0.97759,0.96686,0.98784,0.93162,0.33222,0.2394,0.78835,0.000298,0.000298,0.000298
100,59286.5,0.366,0.23563,0.79746,0.97741,0.96757,0.98798,0.93208,0.33179,0.23861,0.78821,0.000199,0.000199,0.000199
